,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_size
0,0,3,1,0.2711736617240512,1,0,0.014151057562208049,1,1
1,1,1,0,0.4722292033174164,1,0,0.13913573538264068,2,1
2,1,3,0,0.32143754712239253,0,0,0.015468569817999833,1,0
3,1,1,0,0.4345312892686604,1,0,0.10364429745562033,1,1
4,0,3,1,0.4345312892686604,0,0,0.015712553569072387,1,0
5,0,3,1,0.34656948982156316,0,0,0.01650950209357577,3,0
6,0,1,1,0.6732847449107816,0,0,0.10122885832000206,1,0
7,0,3,1,0.01985423473234481,3,1,0.04113566043083236,1,4
8,1,3,0,0.33400351847197784,0,2,0.021730754366528396,1,2
9,1,2,0,0.17064589092736868,1,0,0.058694292654020104,2,1
10,1,3,0,0.04498617743151546,1,1,0.03259622914329302,1,2
11,1,1,0,0.723548630309123,0,0,0.051822148727810165,1,0
12,0,3,1,0.24604171902488062,0,0,0.015712553569072387,1,0
13,0,3,1,0.4847951746670017,1,5,0.06104473451835265,1,6
14,0,3,0,0.17064589092736868,0,0,0.015330377421392339,1,0
15,1,2,0,0.685850716260367,0,0,0.03122992013728673,1,0
16,0,3,1,0.01985423473234481,4,1,0.05684821399990475,3,5
17,1,2,1,0.34656948982156316,0,0,0.025374310111545468,1,0
18,0,3,0,0.38426740387031916,1,0,0.03513366015444757,1,1
19,1,3,0,0.34656948982156316,0,0,0.014102260811993537,2,0
20,0,2,1,0.4345312892686604,0,0,0.050748620223090936,1,0
21,1,2,1,0.4219653179190751,0,0,0.025374310111545468,1,0
22,1,3,0,0.18321186227695402,0,0,0.015671954672893913,3,0
23,1,1,1,0.34656948982156316,0,0,0.06929138530460494,1,0
24,0,3,0,0.09525006282985675,3,1,0.04113566043083236,1,4
25,1,3,0,0.4722292033174164,1,5,0.06126431989431795,1,6
26,0,3,1,0.34656948982156316,0,0,0.014102260811993537,2,0
27,0,1,1,0.2334757476752953,3,2,0.5133418122566507,1,5
28,1,3,0,0.34656948982156316,0,0,0.01537917417160685,3,0
29,0,3,1,0.34656948982156316,0,0,0.015411575213749286,1,0
30,0,1,1,0.49736114601658704,0,0,0.05410739813385612,2,0
31,1,1,0,0.34656948982156316,1,0,0.2859895551532101,2,1
32,1,3,0,0.34656948982156316,0,0,0.015126992566498259,3,0
33,0,2,1,0.8240764011058055,0,0,0.020494635090094415,1,0
34,0,1,1,0.34656948982156316,1,0,0.16038672010106003,2,1
35,0,1,1,0.5224930887157577,1,0,0.10149724044618187,1,1
36,1,3,1,0.34656948982156316,0,0,0.014110458666029575,2,0
37,0,3,1,0.2586076903744659,0,0,0.015712553569072387,1,0
38,0,3,0,0.22090977632571,2,0,0.03513366015444757,1,2
39,1,3,0,0.17064589092736868,1,0,0.021942337075458514,2,1
40,0,3,0,0.49736114601658704,1,0,0.018493968331299484,1,1
41,0,2,0,0.33400351847197784,1,0,0.04098927018018883,1,1
42,0,3,1,0.34656948982156316,0,0,0.015411575213749286,2,0
43,1,2,0,0.032420206081930136,1,2,0.08115719346076702,2,3
44,1,3,0,0.2334757476752953,0,0,0.01537917417160685,3,0
45,0,3,1,0.34656948982156316,0,0,0.015712553569072387,1,0
46,0,3,1,0.34656948982156316,1,0,0.030253985132996517,3,1
48,0,3,1,0.34656948982156316,2,0,0.04231498029001666,2,2
49,0,3,0,0.22090977632571,1,0,0.034743286152731485,1,1
50,0,3,1,0.08268409148027142,4,1,0.07746484096553544,1,5
51,0,3,1,0.2586076903744659,0,0,0.01522458606692728,1,0
52,1,1,0,0.610454888162855,1,0,0.1497654242623688,2,1
53,1,2,0,0.35913546117114853,1,0,0.050748620223090936,1,1
54,0,1,1,0.8115104297562202,0,1,0.1209753416358076,2,1
56,1,2,0,0.2586076903744659,0,0,0.020494635090094415,1,0
57,0,3,1,0.35285247549635584,0,0,0.014110458666029575,2,0
58,1,2,0,0.05755214878110078,1,2,0.05416439273810667,1,3
59,0,3,1,0.1329479768786127,5,2,0.09154270340242172,1,7
60,0,3,1,0.2711736617240512,0,0,0.014110458666029575,2,0
61,1,1,0,0.4722292033174164,0,0,0.15614960068643363,1,0
62,0,1,1,0.5601910027645137,1,0,0.16293234896625058,1,1
63,0,3,1,0.04498617743151546,3,2,0.05445717323939373,1,5
64,0,1,1,0.34656948982156316,0,0,0.05410739813385612,2,0
65,1,3,1,0.34656948982156316,1,1,0.029757819776815374,2,2
66,1,2,0,0.35913546117114853,0,0,0.020494635090094415,1,0
67,0,3,1,0.2334757476752953,0,0,0.015923941091001644,1,0
68,1,3,0,0.20834380497612465,4,2,0.015468569817999833,1,6
69,0,3,1,0.32143754712239253,2,0,0.016908073949327893,1,2
70,0,2,1,0.39683337521990447,0,0,0.020494635090094415,1,0
71,0,3,0,0.19577783362653933,5,2,0.09154270340242172,1,7
72,0,2,1,0.2586076903744659,0,0,0.1434624456306609,1,0
73,0,3,1,0.32143754712239253,1,0,0.028212719478023115,2,1
74,1,3,1,0.39683337521990447,0,0,0.11027245763075773,1,0
75,0,3,1,0.3088715757728072,0,0,0.014931805565640218,1,0
78,1,2,1,0.005152048253329982,0,2,0.056604230248832196,1,2
79,1,3,0,0.37170143252073384,0,0,0.024349578357040744,1,0
80,0,3,1,0.2711736617240512,0,0,0.017566830077223785,1,0
81,1,3,1,0.35913546117114853,0,0,0.018542765081513996,1,0
82,1,3,0,0.34656948982156316,0,0,0.015200187691820024,3,0
83,0,1,1,0.34656948982156316,0,0,0.09193307740413781,1,0
84,1,2,0,0.20834380497612465,0,0,0.020494635090094415,1,0
85,1,3,0,0.4093993465694898,3,0,0.030937139635999665,1,3
86,0,3,1,0.19577783362653933,1,3,0.06709553154495196,1,4
88,1,1,0,0.2837396330736366,3,2,0.5133418122566507,1,5
89,0,3,1,0.2963056044232219,0,0,0.015712553569072387,1,0
90,0,3,1,0.35913546117114853,0,0,0.015712553569072387,1,0
91,0,3,1,0.24604171902488062,0,0,0.015330377421392339,1,0
92,0,1,1,0.5727569741140991,1,0,0.11940564777490723,1,1
93,0,3,1,0.32143754712239253,1,2,0.04015972542654215,1,3
94,0,3,1,0.7361146016587082,0,0,0.014151057562208049,1,0
96,0,1,1,0.8869062578537321,0,0,0.06764049365134761,2,0
97,1,1,1,0.2837396330736366,0,1,0.12366716556464086,2,1
98,1,2,0,0.4219653179190751,0,1,0.044893010197349675,1,1
99,0,2,1,0.4219653179190751,1,0,0.050748620223090936,1,1
100,0,3,0,0.34656948982156316,0,0,0.015411575213749286,1,0
102,0,1,1,0.2586076903744659,0,1,0.15085515328815924,1,1
103,0,3,1,0.4093993465694898,0,0,0.016891873428256675,1,0
104,0,3,1,0.4596632319678311,2,0,0.015468569817999833,1,2
106,1,3,0,0.2586076903744659,0,0,0.014931805565640218,1,0
107,1,3,1,0.34656948982156316,0,0,0.015175789316712771,1,0
108,0,3,1,0.4722292033174164,0,0,0.015411575213749286,1,0
109,1,3,0,0.34656948982156316,1,0,0.04713766070721715,3,1
110,0,1,1,0.5853229454636844,0,0,0.10149724044618187,1,0
111,0,3,0,0.17692887660216136,1,0,0.028212719478023115,2,1
112,0,3,1,0.2711736617240512,0,0,0.015712553569072387,1,0
113,0,3,0,0.24604171902488062,1,0,0.019177122834302632,1,1
114,0,3,0,0.20834380497612465,0,0,0.028220722145058292,2,0
115,0,3,1,0.2586076903744659,0,0,0.015468569817999833,1,0
116,0,3,1,0.8806232721789394,0,0,0.015126992566498259,3,0
117,0,2,1,0.35913546117114853,1,0,0.04098927018018883,1,1
118,0,1,1,0.2963056044232219,0,1,0.4831284260198326,2,1
119,0,3,0,0.01985423473234481,4,2,0.06104473451835265,1,6
120,0,2,1,0.2586076903744659,2,0,0.1434624456306609,1,2
122,0,2,1,0.40311636089469716,1,0,0.058694292654020104,2,1
123,1,2,0,0.40311636089469716,0,0,0.025374310111545468,1,0
124,0,1,1,0.6732847449107816,0,1,0.15085515328815924,1,1
125,1,3,1,0.14551394822819805,1,0,0.021942337075458514,2,1
126,0,3,1,0.34656948982156316,0,0,0.015126992566498259,3,0
127,1,3,1,0.2963056044232219,0,0,0.01393967004027879,1,0
128,1,3,0,0.34656948982156316,1,1,0.04364049521284362,2,2
129,0,3,1,0.5601910027645137,0,0,0.013614293309848433,1,0
130,0,3,1,0.4093993465694898,0,0,0.015411575213749286,2,0
131,0,3,1,0.24604171902488062,0,0,0.013760683560491965,1,0
132,0,3,0,0.5853229454636844,1,0,0.028302115124416098,1,1
134,0,2,1,0.3088715757728072,0,0,0.025374310111545468,1,0
135,0,2,1,0.2837396330736366,0,0,0.02936744577509929,2,0
136,1,1,0,0.2334757476752953,0,2,0.051301584996521765,1,2
137,0,1,1,0.4596632319678311,1,0,0.10364429745562033,1,1
138,0,3,1,0.19577783362653933,0,0,0.01798980030808316,1,0
139,0,1,1,0.2963056044232219,0,0,0.15458810467956932,2,0
140,0,3,0,0.34656948982156316,0,2,0.029757819776815374,2,2
141,1,3,0,0.2711736617240512,0,0,0.015126992566498259,1,0
142,1,3,0,0.2963056044232219,1,0,0.030937139635999665,1,1
143,0,3,1,0.2334757476752953,0,0,0.013175122557917838,3,0
144,0,2,1,0.22090977632571,0,0,0.022446505098674838,1,0
145,0,2,1,0.2334757476752953,1,1,0.07173122281533045,1,2
146,1,3,1,0.33400351847197784,0,0,0.015216388212891242,1,0
147,0,3,0,0.10781603417944208,2,2,0.06709553154495196,1,4
148,0,2,1,0.4533802462930384,0,2,0.050748620223090936,1,2
149,0,2,1,0.5224930887157577,0,0,0.025374310111545468,1,0
150,0,2,1,0.6355868308620256,0,0,0.02444717185746977,1,0
151,1,1,0,0.2711736617240512,1,0,0.12999454257145598,1,1
152,0,3,1,0.6921337019351597,0,0,0.015712553569072387,1,0
153,0,3,1,0.5036441316913798,0,2,0.028302115124416098,1,2
154,0,3,1,0.34656948982156316,0,0,0.014273049437744325,1,0
155,0,1,1,0.6355868308620256,0,1,0.11980421963065935,2,1
156,1,3,0,0.19577783362653933,0,0,0.015094396337354966,3,0
157,0,3,1,0.37170143252073384,0,0,0.015712553569072387,1,0
158,0,3,1,0.34656948982156316,0,0,0.016908073949327893,1,0
159,0,3,1,0.34656948982156316,8,2,0.13575255909676825,1,10
160,0,3,1,0.5476250314149284,0,1,0.031425107138144774,1,1
161,1,2,0,0.49736114601658704,0,0,0.030741952635141623,1,0
162,0,3,1,0.32143754712239253,0,0,0.015175789316712771,1,0
163,0,3,1,0.20834380497612465,0,0,0.016908073949327893,1,0
164,0,3,1,0.007288263382759488,4,1,0.07746484096553544,1,5
165,1,3,1,0.10781603417944208,0,2,0.04006213192611313,1,2
166,1,1,0,0.34656948982156316,0,1,0.10735285047192313,1,1
167,0,3,0,0.5601910027645137,1,4,0.05445717323939373,1,5
168,0,1,1,0.34656948982156316,0,0,0.050602229972447406,1,0
169,0,3,1,0.34656948982156316,0,0,0.11027245763075773,1,0
170,0,1,1,0.7612465443578789,0,0,0.06538764528744409,1,0
171,0,3,1,0.04498617743151546,4,1,0.05684821399990475,3,5
172,1,3,0,0.007288263382759488,1,1,0.021730754366528396,1,2
174,0,1,1,0.6984166876099522,0,0,0.05991421140938287,2,0
175,0,3,1,0.22090977632571,1,1,0.015330377421392339,1,2
176,0,3,1,0.34656948982156316,3,1,0.049707687947515,1,4
177,0,1,0,0.6230208595124404,0,0,0.05604306762136532,2,0
178,0,2,1,0.37170143252073384,0,0,0.025374310111545468,1,0
179,0,3,1,0.4470972606182458,0,0,0.0,1,0
180,0,3,0,0.34656948982156316,8,2,0.13575255909676825,1,10
181,0,2,1,0.34656948982156316,0,0,0.02937564362913533,2,0
182,0,3,1,0.10781603417944208,4,2,0.06126431989431795,1,6
183,1,2,1,0.007288263382759488,2,1,0.07612293033463641,1,3
184,1,3,0,0.04498617743151546,0,2,0.04298993693898376,1,2
185,0,1,1,0.34656948982156316,0,0,0.09759350042902103,1,0
186,1,3,0,0.34656948982156316,1,0,0.030253985132996517,3,1
187,1,1,1,0.5601910027645137,0,0,0.051822148727810165,1,0
188,0,3,1,0.49736114601658704,1,1,0.030253985132996517,3,2
189,0,3,1,0.4470972606182458,0,0,0.015411575213749286,1,0
190,1,2,0,0.39683337521990447,0,0,0.025374310111545468,1,0
191,0,2,1,0.2334757476752953,0,0,0.025374310111545468,1,0
192,1,3,0,0.2334757476752953,1,0,0.015330377421392339,1,1
193,1,2,1,0.032420206081930136,1,1,0.050748620223090936,1,2
194,1,1,0,0.5476250314149284,0,0,0.05410739813385612,2,0
195,1,1,0,0.723548630309123,0,0,0.2859895551532101,2,0
197,0,3,1,0.5224930887157577,0,1,0.01640390592611157,1,1
199,0,2,0,0.2963056044232219,0,0,0.025374310111545468,1,0
200,0,3,1,0.34656948982156316,0,0,0.018542765081513996,1,0
202,0,3,1,0.4219653179190751,0,0,0.012678957201736696,1,0
203,0,3,1,0.5664739884393064,0,0,0.014102260811993537,2,0
204,1,3,1,0.22090977632571,0,0,0.015712553569072387,1,0
205,0,3,0,0.01985423473234481,0,1,0.02042143996477265,1,1
206,0,3,1,0.39683337521990447,1,0,0.030937139635999665,1,1
207,1,3,1,0.32143754712239253,0,0,0.036670757786204655,2,0
208,1,3,0,0.19577783362653933,0,0,0.015126992566498259,3,0
209,1,1,1,0.49736114601658704,0,0,0.060507970265993034,2,0
210,0,3,1,0.2963056044232219,0,0,0.013760683560491965,1,0
211,1,2,0,0.4345312892686604,0,0,0.04098927018018883,1,0
212,0,3,1,0.2711736617240512,0,0,0.014151057562208049,1,0
214,0,3,1,0.34656948982156316,1,0,0.015126992566498259,3,1
215,1,1,0,0.38426740387031916,1,0,0.22109807522194713,2,1
216,1,3,0,0.33400351847197784,0,0,0.015468569817999833,1,0
217,0,2,1,0.5224930887157577,1,0,0.05270049023167135,1,1
218,1,1,0,0.39683337521990447,0,0,0.14891148113361488,2,0
219,0,2,1,0.37170143252073384,0,0,0.020494635090094415,1,0
220,1,3,1,0.19577783362653933,0,0,0.015712553569072387,1,0
221,0,2,1,0.33400351847197784,0,0,0.025374310111545468,1,0
222,0,3,1,0.6355868308620256,0,0,0.015712553569072387,1,0
224,1,1,1,0.4722292033174164,1,0,0.17566830077223786,1,1
225,0,3,1,0.2711736617240512,0,0,0.018249984580226933,1,0
226,1,2,1,0.2334757476752953,0,0,0.020494635090094415,1,0
227,0,3,1,0.2523247046996733,0,0,0.014151057562208049,1,0
228,0,2,1,0.22090977632571,0,0,0.025374310111545468,1,0
229,0,3,0,0.34656948982156316,3,1,0.049707687947515,1,4
230,1,1,0,0.4345312892686604,1,0,0.16293234896625058,1,1
231,0,3,1,0.35913546117114853,0,0,0.015175789316712771,1,0
232,0,2,1,0.7361146016587082,0,0,0.026350245115835676,1,0
233,1,3,0,0.05755214878110078,4,2,0.06126431989431795,1,6
234,0,2,1,0.2963056044232219,0,0,0.020494635090094415,1,0
235,0,3,0,0.34656948982156316,0,0,0.014736618564782174,1,0
236,0,2,1,0.5476250314149284,1,0,0.050748620223090936,1,1
237,1,2,0,0.09525006282985675,0,2,0.05123658772523604,1,2
238,0,2,1,0.2334757476752953,0,0,0.020494635090094415,1,0
239,0,2,1,0.4093993465694898,0,0,0.023959204355324663,1,0
240,0,3,0,0.34656948982156316,1,0,0.028212719478023115,2,1
242,0,2,1,0.35913546117114853,0,0,0.020494635090094415,1,0
243,0,3,1,0.2711736617240512,0,0,0.013907073811135496,1,0
244,0,3,1,0.37170143252073384,0,0,0.014102260811993537,2,0
245,0,1,1,0.5476250314149284,2,0,0.17566830077223786,3,2
246,0,3,0,0.3088715757728072,0,0,0.015175789316712771,1,0
247,1,2,0,0.2963056044232219,0,2,0.028302115124416098,1,2
248,1,1,1,0.4596632319678311,1,1,0.10257896680493714,1,2
249,0,2,1,0.6732847449107816,1,0,0.050748620223090936,1,1
250,0,3,1,0.34656948982156316,0,0,0.014151057562208049,1,0
251,0,3,0,0.35913546117114853,1,1,0.02042143996477265,1,2
252,0,1,1,0.7738125157074642,0,0,0.051822148727810165,1,0
253,0,3,1,0.37170143252073384,1,0,0.031425107138144774,1,1
254,0,3,0,0.5099271173661725,0,2,0.039452172548431745,1,2
255,1,3,0,0.35913546117114853,0,2,0.029757819776815374,2,2
256,1,1,0,0.34656948982156316,0,0,0.15458810467956932,2,0
257,1,1,0,0.37170143252073384,0,0,0.16883675574220638,1,0
258,1,1,0,0.4345312892686604,0,0,1.0,2,0
259,1,2,0,0.6230208595124404,0,1,0.050748620223090936,1,1
261,1,3,1,0.032420206081930136,4,2,0.06126431989431795,1,6
262,0,1,1,0.648152802211611,1,1,0.1554664461834305,1,2
263,0,1,1,0.49736114601658704,0,0,0.0,1,0
264,0,3,0,0.34656948982156316,0,0,0.015126992566498259,3,0
265,0,2,1,0.4470972606182458,0,0,0.020494635090094415,1,0
266,0,3,1,0.19577783362653933,4,1,0.07746484096553544,1,5
267,1,3,1,0.3088715757728072,1,0,0.015175789316712771,1,1
268,1,1,0,0.723548630309123,0,1,0.2995388511917728,1,1
269,1,1,0,0.4345312892686604,0,0,0.2647385704347907,1,0
270,0,1,1,0.34656948982156316,0,0,0.060507970265993034,1,0
271,1,3,1,0.3088715757728072,0,0,0.0,1,0
272,1,2,0,0.5099271173661725,0,1,0.038061465167318204,1,1
273,0,1,1,0.4596632319678311,0,1,0.057970539254838485,2,1
275,1,1,0,0.7863784870570495,1,0,0.15216446768991498,1,1
276,0,3,0,0.5601910027645137,0,0,0.015126992566498259,1,0
277,0,2,1,0.34656948982156316,0,0,0.0,1,0
278,0,3,1,0.08268409148027142,4,1,0.05684821399990475,3,5
279,1,3,0,0.4345312892686604,1,1,0.03952536767375352,1,2
280,0,3,1,0.8115104297562202,0,0,0.015126992566498259,3,0
281,0,3,1,0.34656948982156316,0,0,0.015330377421392339,1,0
282,0,3,1,0.19577783362653933,0,0,0.018542765081513996,1,0
283,1,3,1,0.2334757476752953,0,0,0.015712553569072387,1,0
284,0,1,1,0.34656948982156316,0,0,0.050748620223090936,1,0
285,0,3,1,0.4093993465694898,0,0,0.016908073949327893,2,0
286,1,3,1,0.37170143252073384,0,0,0.018542765081513996,1,0
287,0,3,1,0.2711736617240512,0,0,0.015411575213749286,1,0
288,1,2,1,0.5224930887157577,0,0,0.025374310111545468,1,0
289,1,3,0,0.2711736617240512,0,0,0.015126992566498259,3,0
290,1,1,0,0.32143754712239253,0,0,0.15390495017656614,1,0
291,1,1,0,0.2334757476752953,1,0,0.17777475888549785,2,1
292,0,2,1,0.4470972606182458,0,0,0.025130326360472913,2,0
293,0,3,0,0.2963056044232219,0,0,0.01727404957593672,1,0
294,0,3,1,0.2963056044232219,0,0,0.015411575213749286,1,0
296,0,3,1,0.2900226187484292,0,0,0.014110458666029575,2,0
297,0,1,0,0.01985423473234481,1,2,0.29580589980036276,1,3
298,1,1,1,0.34656948982156316,0,0,0.05953203526170282,1,0
299,1,1,0,0.6230208595124404,0,1,0.4831284260198326,2,1
301,1,3,1,0.34656948982156316,2,0,0.04538097769949478,3,2
302,0,3,1,0.2334757476752953,0,0,0.0,1,0
303,1,2,0,0.34656948982156316,0,0,0.024105594605968193,3,0
305,1,1,1,0.006282985674792663,1,2,0.29580589980036276,1,3
306,1,1,0,0.34656948982156316,0,0,0.21642978772242535,2,0
307,1,1,0,0.20834380497612465,1,0,0.2125586439344078,2,1
308,0,2,1,0.37170143252073384,1,0,0.04684488020593009,2,1
309,1,1,0,0.37170143252073384,0,0,0.11111839809247648,2,0
310,1,1,0,0.2963056044232219,0,0,0.16231419173453318,2,0
311,1,1,0,0.22090977632571,2,2,0.5121218935012878,2,4
312,0,2,0,0.32143754712239253,1,1,0.050748620223090936,1,2
314,0,2,1,0.5350590600653431,1,1,0.05123658772523604,1,2
315,1,3,0,0.32143754712239253,0,0,0.015330377421392339,1,0
316,1,2,0,0.2963056044232219,1,0,0.050748620223090936,1,1
317,0,2,1,0.6732847449107816,0,0,0.027326180120125887,1,0
318,1,1,0,0.38426740387031916,0,2,0.32179836714362564,1,2
319,1,1,0,0.49736114601658704,1,1,0.2625265161540666,2,2
321,0,3,1,0.33400351847197784,0,0,0.015411575213749286,1,0
322,1,2,0,0.37170143252073384,0,0,0.024105594605968193,3,0
323,1,2,0,0.2711736617240512,1,1,0.056604230248832196,1,2
325,1,1,0,0.4470972606182458,0,0,0.2647385704347907,2,0
326,0,3,1,0.7612465443578789,0,0,0.012174789178520372,1,0
327,1,2,0,0.4470972606182458,0,0,0.025374310111545468,1,0
328,1,3,0,0.38426740387031916,1,1,0.04006213192611313,1,2
329,1,1,0,0.19577783362653933,0,1,0.11316786160148591,2,1
330,1,3,0,0.34656948982156316,2,0,0.04538097769949478,3,2
331,0,1,1,0.5664739884393064,0,0,0.055628295244541985,1,0
332,0,1,1,0.4722292033174164,0,1,0.2995388511917728,1,1
333,0,3,1,0.19577783362653933,2,0,0.03513366015444757,1,2
334,1,1,0,0.34656948982156316,1,0,0.2608674266467732,1,1
336,0,1,1,0.35913546117114853,1,0,0.12999454257145598,1,1
337,1,1,0,0.5099271173661725,0,0,0.2625265161540666,2,0
338,1,3,1,0.5601910027645137,0,0,0.015712553569072387,1,0
339,0,1,1,0.5601910027645137,0,0,0.06929138530460494,1,0
340,1,2,1,0.01985423473234481,1,1,0.050748620223090936,1,2
341,1,1,0,0.2963056044232219,3,2,0.5133418122566507,1,5
342,0,2,1,0.34656948982156316,0,0,0.025374310111545468,1,0
344,0,2,1,0.4470972606182458,0,0,0.025374310111545468,1,0
345,1,2,0,0.2963056044232219,0,0,0.025374310111545468,1,0
346,1,2,0,0.49736114601658704,0,0,0.025374310111545468,1,0
347,1,3,0,0.34656948982156316,1,0,0.031425107138144774,1,1
348,1,3,1,0.032420206081930136,1,1,0.031034733136428686,1,2
349,0,3,1,0.5224930887157577,0,0,0.016908073949327893,1,0
350,0,3,1,0.2837396330736366,0,0,0.01800600082915438,1,0
351,0,1,1,0.34656948982156316,0,0,0.06831545030031472,1,0
352,0,3,1,0.18321186227695402,1,1,0.014110458666029575,2,2
353,0,3,1,0.3088715757728072,1,0,0.034743286152731485,1,1
356,1,1,0,0.2711736617240512,0,1,0.10735285047192313,1,1
357,0,2,0,0.4722292033174164,0,0,0.025374310111545468,1,0
360,0,3,1,0.49736114601658704,1,4,0.05445717323939373,1,5
361,0,2,1,0.35913546117114853,1,0,0.05410739813385612,2,1
362,0,3,0,0.5601910027645137,0,1,0.028212719478023115,2,1
363,0,3,1,0.4345312892686604,0,0,0.013760683560491965,1,0
365,0,3,1,0.37170143252073384,0,0,0.014151057562208049,1,0
366,1,1,0,0.7486805730082936,1,0,0.14687821814567664,2,1
367,1,3,0,0.34656948982156316,0,0,0.014110458666029575,2,0
369,1,1,0,0.2963056044232219,0,0,0.13526459159462315,2,0
370,1,1,1,0.3088715757728072,1,0,0.1082149914547131,2,1
371,0,3,1,0.22090977632571,1,0,0.012678957201736696,1,1
372,0,3,1,0.2334757476752953,0,0,0.015712553569072387,1,0
373,0,1,1,0.2711736617240512,0,0,0.2647385704347907,2,0
374,0,3,0,0.032420206081930136,3,1,0.04113566043083236,1,4
375,1,1,0,0.34656948982156316,1,0,0.16038672010106003,2,1
376,1,3,0,0.2711736617240512,0,0,0.014151057562208049,1,0
377,0,1,1,0.33400351847197784,0,2,0.41282050681475896,2,2
378,0,3,1,0.24604171902488062,0,0,0.007831878409428937,2,0
379,0,3,1,0.2334757476752953,0,0,0.015175789316712771,1,0
380,1,1,0,0.5224930887157577,0,0,0.4440992237022602,2,0
381,1,3,0,0.007288263382759488,0,2,0.030725752114070404,2,2
382,0,3,1,0.39683337521990447,0,0,0.015468569817999833,1,0
383,1,1,0,0.4345312892686604,1,0,0.10149724044618187,1,1
385,0,2,1,0.22090977632571,0,0,0.1434624456306609,1,0
386,0,3,1,0.007288263382759488,5,2,0.09154270340242172,1,7
388,0,3,1,0.34656948982156316,0,0,0.015086393670319786,3,0
389,1,2,0,0.20834380497612465,0,0,0.023422440102965045,2,0
390,1,1,1,0.4470972606182458,1,2,0.23422440102965048,1,3
391,1,3,1,0.2586076903744659,0,0,0.015216388212891242,1,0
392,0,3,1,0.34656948982156316,2,0,0.015468569817999833,1,2
393,1,1,0,0.2837396330736366,1,0,0.22109807522194713,2,1
394,1,3,0,0.2963056044232219,0,2,0.03259622914329302,1,2
395,0,3,1,0.2711736617240512,0,0,0.015216388212891242,1,0
396,0,3,0,0.38426740387031916,0,0,0.015330377421392339,1,0
397,0,2,1,0.5727569741140991,0,0,0.050748620223090936,1,0
398,0,2,1,0.2837396330736366,0,0,0.020494635090094415,1,0
399,1,2,0,0.34656948982156316,0,0,0.02469115560854232,1,0
400,1,3,1,0.4847951746670017,0,0,0.015468569817999833,1,0
401,0,3,1,0.32143754712239253,0,0,0.015712553569072387,1,0
402,0,3,0,0.2586076903744659,1,0,0.019177122834302632,1,1
403,0,3,1,0.34656948982156316,1,0,0.030937139635999665,1,1
404,0,3,0,0.24604171902488062,0,0,0.016908073949327893,1,0
405,0,2,1,0.4219653179190751,1,0,0.04098927018018883,1,1
406,0,3,1,0.6355868308620256,0,0,0.015126992566498259,1,0
407,1,2,1,0.032420206081930136,1,1,0.03659756266088288,1,2
408,0,3,1,0.2586076903744659,0,0,0.015175789316712771,1,0
411,0,3,1,0.34656948982156316,0,0,0.013386510079847098,3,0
412,1,1,0,0.4093993465694898,1,0,0.17566830077223786,3,1
414,1,3,1,0.5476250314149284,0,0,0.015468569817999833,1,0
415,0,3,0,0.34656948982156316,0,0,0.015712553569072387,1,0
416,1,2,0,0.4219653179190751,1,1,0.06343577527886367,1,2
417,1,2,0,0.22090977632571,0,2,0.025374310111545468,1,2
419,0,3,0,0.12038200552902739,0,2,0.04713766070721715,1,2
421,0,3,1,0.2586076903744659,0,0,0.015094396337354966,3,0
422,0,3,1,0.35913546117114853,0,0,0.015370976317570811,1,0
423,0,3,0,0.34656948982156316,1,1,0.028106928123558056,1,2
424,0,3,1,0.22090977632571,1,1,0.039452172548431745,1,2
426,1,2,0,0.34656948982156316,1,0,0.050748620223090936,1,1
427,1,2,0,0.2334757476752953,0,0,0.050748620223090936,1,0
